ID,Name,PubChem CID,CAS number,canonical SMILES,Taste,Class taste,Reference_(cod)/[pp],taste_word_count,taste_has_multiple,smiles_length,num_carbons,num_oxygens,num_nitrogens,num_sulfurs,num_halogens,num_rings,num_aromatic,num_double_bonds,num_triple_bonds,num_brackets,num_branches,C_O_ratio,N_C_ratio,ring_aromatic_ratio,heteroatom_ratio
0001,(-)-Haematoxylin,320930,517-28-2,Oc1cc2c(cc1O)C1c3ccc(c(c3OCC1(O)C2)O)O,Sweet,Sweetness,Arnoldi1995_((-)-1); Bassoli2001_(39),1,False,38,4,6,0,0,0,8,12,0,0,0,8,0.5714285714285714,0.0,1.3333333333333333,0.15384615384615385
0002,(+)-4β-hydroxyhernandulcin,126862,145385-64-4,CC(C)=CCCC(C)(O)C1CC(O)C(=CC1=O)C,Sweet,Sweetness,Ҫiçek2020_(32); Kinghorn1998_(2); Kinghorn2002_(7); Kinghorn2010_(15)/[276]; Kinghorn2012_[231],1,False,33,15,3,0,0,0,2,0,3,0,0,10,3.75,0.0,0.0,0.08823529411764706
0003,(+)-Dihydroquercetin 3-acetate,442540,78834-97-6,CC(=O)OC1C(Oc2cc(cc(c2C1=O)O)O)c1ccc(c(c1)O)O,Non-bitter; Sweet(6),Sweetness,Bouysset2020_(175); Ҫiçek2020_(19); Dagan-Wiener2017; Kinghorn2002_(26); Kinghorn2010_(91)/[278]; Nanayakkara1988_(1); Shallenberger1993_[269],2,True,45,5,8,0,0,0,6,12,2,0,0,12,0.5555555555555556,0.0,1.7142857142857142,0.17391304347826086
0004,(+)-Dihydro-6-methoxy-luteolin 3-acetate,14886050,*,COc1c(cc2c(c1O)C(=O)C(OC(C)=O)C(O2)c1ccc(c(c1)O)O)O,Sweet,Sweetness,Ҫiçek2020_(21); Kinghorn2002_(28); Kinghorn2010_(93)/[278],1,False,51,6,9,0,0,0,6,12,2,0,0,16,0.6,0.0,1.7142857142857142,0.17307692307692307
0005,(+)-Haematoxylin,442514,517-28-2,Oc1cc2c(cc1O)C1c3ccc(c(c3OCC1(O)C2)O)O,Sweet,Sweetness,Arnoldi1995_((+)-1); Arnoldi1996_(12); Bassoli2001_(37); Bassoli2002_(6); Bassoli2006_[334]; Bouysset2020_(209); Ҫiçek2020_(28); Kinghorn2006_[295]; Kinghorn2010_(103)/[279],1,False,38,4,6,0,0,0,8,12,0,0,0,8,0.5714285714285714,0.0,1.3333333333333333,0.15384615384615385
0006,(+)-Phyllodulcin 8-O-glucoside,44440845,*,COc1ccc(cc1O)C1Cc2cccc(c2C(=O)O1)OC1OC(CO)C(O)C(O)C1O,Sweet,Sweetness,Ҫiçek2020_(18),1,False,53,10,10,0,0,0,8,12,1,0,0,12,0.9090909090909091,0.0,1.3333333333333333,0.18518518518518517
0007,(+)-Quercitol,441437,488-73-3,OC1CC(O)C(O)C(O)C1O,Non-bitter; Sweet,Sweetness,"Dagan-Wiener2017; Shallenberger1993_[149,312]",2,True,19,6,5,0,0,0,2,0,0,0,0,6,1.0,0.0,0.0,0.25
0008*,(1-{4-[(hydroxyimino)methyl]cyclohex-3-en-1-yl}ethylidene)(methoxy)amine,*,*,CON=C(C)C1CCC(=CC1)C=NO,Sweet,Sweetness,Acton1976_(12); Iwamura1980_(5),1,False,23,10,2,2,0,0,2,0,3,0,0,4,3.3333333333333335,0.18181818181818182,0.0,0.16666666666666666
0009,"(2R,4R)-monatin (monosodium salt)",*,*,[Na+].NC(CC(O)(CC1=CNc2ccccc12)C(O)=O)C([O-])=O,Sweet,Sweetness,Bassoli2006_[337],1,False,47,8,5,2,0,0,4,6,3,0,4,10,1.3333333333333333,0.2222222222222222,1.2,0.14583333333333334
0010,"(2S,4aS,7R,8aS)-(-)-2-(3'-Hydroxy-4'-methoxyphenyl)-9,9-dimethyl tetrahydro-5H-4a,7-methano-4H-1,3-benzoxathiane",*,*,COc1ccc(cc1O)C1OC2CC3CCC2(CS1)C3(C)C,Sweet,Sweetness,Bassoli2000_((-)-10),1,False,36,12,3,0,1,0,8,6,0,0,0,6,3.0,0.0,0.6666666666666666,0.10810810810810811
