Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Source,Dataset_Source,Column1,SEQUENCE,Parent_SMILES
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,sweet,chemtastes_db,FartDB,,,
CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,sweet,chemtastes_db,FartDB,,,
CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,sweet,chemtastes_db,FartDB,,,
OC1C(O)C(O)C(O)C(O)C1O,OC1C(O)C(O)C(O)C(O)C1O,sweet,chemtastes_db,FartDB,,,
CON=C(C)C1CC=C(C=NO)CC1,CON=C(C)C1CC=C(C=NO)CC1,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2OC3CC4CCC3(CS2)C4(C)C)cc1O,COc1ccc(C2OC3CC4CCC3(CS2)C4(C)C)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C(=O)C=CC(=O)O)cc1,COc1ccc(C(=O)C=CC(=O)O)cc1,sweet,chemtastes_db,FartDB,,,
CC1=CCC(C=NO)=CC1,CC1=CCC(C=NO)=CC1,sweet,chemtastes_db,FartDB,,,
COC(C)C1=CC=C(C=NO)CC1,COC(C)C1=CC=C(C=NO)CC1,sweet,chemtastes_db,FartDB,,,
COC(C)C1=CCC(C=NO)=CC1,COC(C)C1=CCC(C=NO)=CC1,sweet,chemtastes_db,FartDB,,,
COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,sweet,chemtastes_db,FartDB,,,
CCC(O)CO,CCC(O)CO,sweet,chemtastes_db,FartDB,,,
CC(O)CO,CC(O)CO,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2OCc3c(O)cccc3O2)cc1O,COc1ccc(C2OCc3c(O)cccc3O2)cc1O,sweet,chemtastes_db,FartDB,,,
COc1ccc(C2OCc3ccccc3O2)cc1O,COc1ccc(C2OCc3ccccc3O2)cc1O,sweet,chemtastes_db,FartDB,,,
CC1=CC=C(C)CC1,CC1=CC=C(C)CC1,sweet,chemtastes_db,FartDB,,,
