Model,Embedding,Train_ACC,Train_PRE,Train_SPEC,Train_SENS,Train_F1,Train_MCC,Test_ACC,Test_PRE,Test_SPEC,Test_SENS,Test_F1,Test_MCC
Logistic Regression,RDKit,0.7909,0.7819,0.9372,0.7735,0.7763,0.6854,0.7786,0.7266,0.9344,0.7431,0.7327,0.6677
Decision Tree,RDKit,0.9741,0.9778,0.991,0.9695,0.9733,0.9611,0.7657,0.72,0.9306,0.7133,0.7164,0.646
Random Forest,RDKit,0.9741,0.9746,0.9922,0.9713,0.9729,0.961,0.8234,0.7711,0.9482,0.7809,0.7748,0.735
Extra Trees,RDKit,0.9741,0.9778,0.991,0.9695,0.9733,0.9611,0.8246,0.7732,0.9484,0.7853,0.7781,0.7365
Gradient Boosting,RDKit,0.9699,0.9686,0.9907,0.9705,0.9694,0.9547,0.8113,0.7595,0.9439,0.7782,0.7671,0.7158
AdaBoost,RDKit,0.6383,0.5192,0.8866,0.4345,0.4239,0.4488,0.6308,0.5044,0.8833,0.4232,0.4092,0.434
SVM,RDKit,0.8497,0.8424,0.956,0.8302,0.8341,0.7758,0.8179,0.7694,0.9462,0.7746,0.7693,0.727
XGBoost,RDKit,0.973,0.9699,0.992,0.9742,0.9719,0.9595,0.8175,0.7657,0.9464,0.7681,0.7664,0.7255
Logistic Regression,Morgan FP,0.9575,0.9616,0.9872,0.9581,0.9598,0.9362,0.7341,0.6907,0.9225,0.6773,0.6835,0.6006
Decision Tree,Morgan FP,0.9701,0.9748,0.9897,0.9657,0.97,0.9551,0.7719,0.7264,0.9327,0.7232,0.7246,0.6563
Random Forest,Morgan FP,0.9701,0.9716,0.9909,0.9677,0.9696,0.955,0.8156,0.7768,0.9458,0.7724,0.7723,0.7234
Extra Trees,Morgan FP,0.9701,0.9748,0.9897,0.9657,0.97,0.9551,0.8129,0.7739,0.9445,0.7693,0.7701,0.7184
Gradient Boosting,Morgan FP,0.9302,0.9347,0.9793,0.938,0.9357,0.8957,0.8066,0.7617,0.9426,0.7458,0.7512,0.7093
AdaBoost,Morgan FP,0.5897,0.422,0.8694,0.3544,0.3617,0.3441,0.5778,0.4022,0.8656,0.3437,0.3507,0.3231
SVM,Morgan FP,0.9163,0.9158,0.9751,0.8943,0.9032,0.8747,0.8,0.7622,0.9405,0.7421,0.7511,0.6985
XGBoost,Morgan FP,0.9103,0.9145,0.9741,0.9216,0.9165,0.8668,0.8199,0.7874,0.9478,0.7696,0.7757,0.7309
Logistic Regression,MACCS,0.8004,0.7867,0.9399,0.7767,0.7805,0.699,0.7782,0.7364,0.9334,0.7292,0.7306,0.6653
Decision Tree,MACCS,0.9539,0.9553,0.9848,0.9486,0.9516,0.9306,0.7774,0.7348,0.934,0.7296,0.7314,0.6639
